# www.neaspec.com
# Scan:	 	Fourier Scan
# Project:	 	nanoFTIR-QualityControl
# Description:	 	NeaSpec-Slow-Arrowhead-Clean-PSPVAC1-45avg
# Date:	 	05/17/2024 17:51:51
# Reference:	 	05/17/2024 17:03:07 NeaSpec-Slow-Arrowhead-Clean-GoldRef
# Scanner Center Position (X, Y):	[µm]	48.45	48.63	 
# Rotation:	[°]	0	 	 
# Scan Area (X, Y, Z):	[µm]	0.000	0.000	0.000
# Pixel Area (X, Y, Z):	[px]	1	1	1024
# Interferometer Center/Distance:	[µm]	470.000	490.000	 
# Averaging:	 	45	 	 
# Integration time:	[ms]	20	 	 
# Wavenumber Scaling:	 	1.003656	 	 
# Laser Source:	 	Synchrotron B
# Detector:	 	R
# Target Wavelength:	[µm]		 	 
# Demodulation Mode:	 	Fourier
# Tip Frequency:	[Hz]	68,263.500	 	 
# Tip Amplitude:	[mV]	277.800	 	 
# Tapping Amplitude:	[nm]	77.952	 	 
# Modulation Frequency:	[Hz]	0.000	 	 
# Modulation Amplitude:	[mV]	0.000	 	 
# Modulation Offset:	[mV]	0.000	 	 
# Setpoint:	[%]	80.49	 	 
# Regulator (P, I, D):	 	3.672227	6.589351	1.000000
# Tip Potential:	[mV]	0.000	 	 
# M1A Scaling:	[nm/V]	1.520	 	 
# M1A Cantilever Factor:	 	2.355	 	 
# Q-Factor:	 	221.1	 	 
# Version:	 	2.1.11508.0
Row	Column	Omega	Wavenumber	O0A	O0P	O1A	O1P	O2A	O2P	O3A	O3P	O4A	O4P	O5A	O5P	
0	0	0	0	0.6755486	-8.742278E-08	0.10224005	3.181664E-05	0.40389723	-3.1415863	0.9315535	3.8619837E-07	1.3764348	-2.8521402E-08	6.036544	3.1415923	
0	0	1	2.560346956632653	0.5309362	-1.0452958	0.46759668	-0.43526706	0.61505157	2.4370198	0.2524889	-1.2411344	0.45658746	-1.7596476	0.49951467	-2.0631387	
0	0	2	5.120693913265306	0.38778687	-1.5248358	0.5297872	0.0035893244	0.47778237	1.6174446	0.16210514	-1.5458586	0.3410476	-2.1055696	0.21319187	-2.4853299	
0	0	3	7.681040869897961	0.3157306	-1.6337411	0.46886584	0.36963466	0.32410216	1.1639701	0.13706751	-2.304033	0.3113651	-2.2788382	0.092139035	2.9927416	
0	0	4	10.241387826530612	0.29860863	-1.5607215	0.3450241	0.7208681	0.22860171	0.9563789	0.15107118	2.5531144	0.24721006	-2.5180986	0.095886745	1.225652	
0	0	5	12.801734783163266	0.32283598	-1.4922746	0.2053648	1.011079	0.16899773	0.8714355	0.18436551	1.4827223	0.0713638	-2.2898529	0.20089623	0.404261	
0	0	6	15.362081739795922	0.3625597	-1.5276355	0.092292055	1.1339573	0.12724222	0.83797586	0.20392239	1.0291106	0.15452792	-0.8277159	0.29263338	-0.055966023	
0	0	7	17.922428696428575	0.39316002	-1.7028781	0.02801185	0.36954036	0.09482063	0.8031083	0.218204	0.87040794	0.23919487	-0.74604726	0.33839726	-0.35276064	
0	0	8	20.482775653061225	0.38562015	-2.1502948	0.054261528	-0.735443	0.068837464	0.6988336	0.22840133	0.8602731	0.2819712	-0.63650393	0.3414744	-0.50373715	
0	0	9	23.04312260969388	0.29907158	2.6641836	0.08942043	-0.7308756	0.051626455	0.41526365	0.23028773	0.94456863	0.30159548	-0.4775859	0.30912954	-0.5257272	
