# www.neaspec.com
# Scan:	 	Fourier Scan
# Project:	 	2025.05.31. hBN stepscan stability
# Description:	 	thin-hBN-nanoFTIR-siref
# Date:	 	05/31/2025 20:00:09
# Scanner Center Position (X, Y):	[µm]	54.25	47.78	 
# Rotation:	[°]	0	 	 
# Scan Area (X, Y, Z):	[µm]	0.000	0.000	0.000
# Pixel Area (X, Y, Z):	[px]	1	1	600
# Interferometer:		 	 	 
# Interferometer Center/Distance:	[µm]	470.000	490.000	 
# Averaging:	 	16	 	 
# Integration time:	[ms]	7	 	 
# Wavenumber Scaling:	 	0.999295	 	 
# Laser Source:	 	Synchrotron B	
# Detector:	 	R
# Target Wavelength:	[µm]		 	 
# Demodulation Mode:	 	Fourier
# Tip Frequency:	[Hz]	59,656.965	 	 
# Tip Amplitude:	[mV]	147.000	 	 
# Tapping Amplitude:	[nm]	81.886	 	 
# Modulation Frequency:	[Hz]	0.000	 	 
# Modulation Amplitude:	[mV]	0.000	 	 
# Modulation Offset:	[mV]	0.000	 	 
# Setpoint:	[%]	75.25	 	 
# Regulator (P, I, D):	 	1.662965	1.974723	1.000000
# Tip Potential:	[mV]	0.000	 	 
# M1A Scaling:	[nm/V]	1.520	 	 
# M1A Cantilever Factor:	 	1.372	 	 
# Q-Factor:	 	220.6	 	 
# Transmission Sync:	 		 	 
# Version:	 	2.1.12235.0
Row	Column	Omega	Wavenumber	O0A	O0P	O1A	O1P	O2A	O2P	O3A	O3P	O4A	O4P	O5A	O5P	
0	0	0	0	33.72528	3.1415927	1.5821152	-3.1415925	0.75933266	-3.1415925	0.4175973	1.6265842E-08	0.21020484	1.0399679E-08	0.028455615	-3.246446E-07	
0	0	1	2.5492221264030612	30.244629	2.2057881	4.5309258	0.9351779	2.3880372	0.9340604	1.3297217	0.37762502	0.77774763	-2.27606	0.5748692	-2.5066633	
0	0	2	5.0984442528061225	20.897757	1.2816553	7.7868934	-0.2192853	4.1160164	-0.17207758	2.2805781	-0.36644444	1.3589917	2.9026208	1.028293	2.7601316	
0	0	3	7.647666379209183	8.678722	0.43635547	9.638237	-1.2846991	5.049444	-1.1932131	2.7684755	-1.2264656	1.6809349	1.8695112	1.2763573	1.7387732	
0	0	4	10.196888505612245	3.2664847	1.910091	9.807701	-2.3585505	5.0351815	-2.216878	2.7161033	-2.1493723	1.6947323	0.83073616	1.2947903	0.68061227	
0	0	5	12.746110632015307	9.818653	1.2728257	8.5625925	2.7905726	4.206603	2.9928193	2.222141	3.120345	1.4413413	-0.2571588	1.1316469	-0.4540045	
0	0	6	15.295332758418366	10.103369	0.22002268	6.675171	1.522116	2.9634066	1.780839	1.5589857	1.9117191	1.0480756	-1.4743346	0.9042678	-1.7287177	
0	0	7	17.844554884821427	5.480513	-1.4426965	5.3294363	0.04383043	2.011388	0.24377944	1.1912508	0.36062866	0.7379988	-2.9746726	0.7654361	3.1159847	
0	0	8	20.39377701122449	10.518597	2.4074743	5.2943683	-1.4964412	2.0375965	-1.4526292	1.3529657	-1.1676983	0.72814727	1.6607907	0.7662616	1.6884596	
0	0	9	22.942999137627552	21.622997	1.1437113	5.7928014	-2.872422	2.4353285	-2.8172317	1.5870816	-2.399823	0.8539572	0.3038157	0.78909224	0.41638118	
0	0	10	25.492221264030615	29.55104	0.055416588	5.847778	2.1529577	2.487801	2.2931283	1.6039785	2.7713397	0.87763685	-0.84174824	0.73187155	-0.7467855	
