# www.neaspec.com
# Scan:	 	Fourier Scan
# Project:	 	2025.05.31. hBN stepscan stability
# Description:	 	thin-hBN-nanoFTIR-siref
# Date:	 	05/31/2025 20:00:09
# Scanner Center Position (X, Y):	[µm]	54.25	47.78	 
# Rotation:	[°]	0	 	 
# Scan Area (X, Y, Z):	[µm]	0.000	0.000	0.000
# Pixel Area (X, Y, Z):	[px]	1	1	600
# Interferometer Center/Distance:	[µm]	470.000	490.000	 
# Averaging:	 	16	 	 
# Integration time:	[ms]	7	 	 
# Wavenumber Scaling:	 	0.999295	 	 
# Laser Source:	 	Synchrotron B
# Detector:	 	R
# Target Wavelength:	[µm]		 	 
# Demodulation Mode:	 	Fourier
# Tip Frequency:	[Hz]	59,656.965	 	 
# Tip Amplitude:	[mV]	147.000	 	 
# Tapping Amplitude:	[nm]	81.886	 	 
# Modulation Frequency:	[Hz]	0.000	 	 
# Modulation Amplitude:	[mV]	0.000	 	 
# Modulation Offset:	[mV]	0.000	 	 
# Setpoint:	[%]	75.25	 	 
# Regulator (P, I, D):	 	1.662965	1.974723	1.000000
# Tip Potential:	[mV]	0.000	 	 
# M1A Scaling:	[nm/V]	1.520	 	 
# M1A Cantilever Factor:	 	1.372	 	 
# Q-Factor:	 	220.6	 	 
# Version:	 	2.1.12235.0
Row	Column	Run	Depth	Z	M	O0A	O0P	O1A	O1P	O2A	O2P	O3A	O3P	O4A	O4P	O5A	O5P	
0	0	0	0	5.7084145E-07	0.00022522284	185.88829	0	18.091974	0.85490745	4.503583	1.727074	1.7248266	2.5746014	0.9364072	-2.8714216	0.4492242	-2.036431	
0	0	0	1	5.7081087E-07	0.00022704259	182.1513	0	17.90274	0.85810316	4.570853	1.7234436	1.6660957	2.6287003	0.8935983	-2.8365932	0.5426791	-2.032727	
0	0	0	2	5.708138E-07	0.00022864614	168.4403	0	18.325218	0.8580532	4.5071416	1.712019	1.7164063	2.568142	0.9322158	-2.895238	0.5188493	-2.0738606	
0	0	0	3	5.708389E-07	0.00022974233	191.69337	0	18.03573	0.85935766	4.54016	1.7219983	1.8252217	2.5598645	0.8666898	-2.8576086	0.43436158	-2.0879407	
0	0	0	4	5.7082633E-07	0.00023061007	172.27814	0	17.874077	0.8598043	4.4595814	1.7130938	1.7400051	2.5725198	0.77130723	-2.8283896	0.50041807	-1.9588813	
0	0	0	5	5.708103E-07	0.00023138917	170.38684	0	18.13052	0.8610655	4.5836973	1.7240382	1.7697366	2.6064267	0.9116316	-2.8591042	0.48197848	-2.0089455	
0	0	0	6	5.708238E-07	0.00023222523	178.61856	0	18.256763	0.8598141	4.443411	1.7076427	1.7683127	2.5387495	0.9203179	-2.895503	0.5442334	-2.0103943	
0	0	0	7	5.7089045E-07	0.00023302156	172.93787	0	17.976234	0.8559132	4.4470263	1.6925541	1.7525301	2.5763555	0.8714811	-2.8072555	0.41378567	-2.064226	
0	0	0	8	5.708838E-07	0.00023385715	184.62239	0	17.664984	0.8582919	4.413124	1.7197987	1.7708776	2.6100144	0.88689005	-2.7627232	0.48051554	-2.0292742	
0	0	0	9	5.70882E-07	0.00023469666	161.27335	0	18.165562	0.8616575	4.44422	1.733732	1.8060168	2.6132092	0.90106314	-2.7133136	0.39944318	-2.016498	
