# www.neaspec.com
# Scan:	 	Fourier Scan
# Project:	 	nanoFTIR-QualityControl
# Description:	 	NeaSpec-Slow-Arrowhead-Clean-PSPVAC2-45avg
# Date:	 	05/17/2024 18:07:36
# Reference:	 	05/17/2024 17:03:07 NeaSpec-Slow-Arrowhead-Clean-GoldRef
# Scanner Center Position (X, Y):	[µm]	50.36	49.78	 
# Rotation:	[°]	0	 	 
# Scan Area (X, Y, Z):	[µm]	0.000	0.000	0.000
# Pixel Area (X, Y, Z):	[px]	1	1	1024
# Interferometer Center/Distance:	[µm]	470.000	490.000	 
# Averaging:	 	45	 	 
# Integration time:	[ms]	20	 	 
# Wavenumber Scaling:	 	1.003656	 	 
# Laser Source:	 	Synchrotron B
# Detector:	 	R
# Target Wavelength:	[µm]		 	 
# Demodulation Mode:	 	Fourier
# Tip Frequency:	[Hz]	68,263.500	 	 
# Tip Amplitude:	[mV]	277.800	 	 
# Tapping Amplitude:	[nm]	78.196	 	 
# Modulation Frequency:	[Hz]	0.000	 	 
# Modulation Amplitude:	[mV]	0.000	 	 
# Modulation Offset:	[mV]	0.000	 	 
# Setpoint:	[%]	80.49	 	 
# Regulator (P, I, D):	 	3.672227	6.589351	1.000000
# Tip Potential:	[mV]	0.000	 	 
# M1A Scaling:	[nm/V]	1.520	 	 
# M1A Cantilever Factor:	 	2.355	 	 
# Q-Factor:	 	221.1	 	 
# Version:	 	2.1.11508.0
Row	Column	Omega	Wavenumber	O0A	O0P	O1A	O1P	O2A	O2P	O3A	O3P	O4A	O4P	O5A	O5P	
0	0	0	0	0.33798736	-8.742278E-08	0.4013357	8.159596E-06	2.0529764	-1.3488116E-06	0.8219125	5.387307E-07	1.8386145	4.488223E-09	1.2808671	-7.699527E-08	
0	0	1	2.560346956632653	0.25545624	-1.3043382	0.32606083	0.32069078	0.9046385	-2.0519094	0.39404392	-0.3417273	0.72770864	-2.2651885	0.3301555	2.77863	
0	0	2	5.120693913265306	0.15171134	-1.9922727	0.25477573	0.4544083	0.48280972	-2.9472594	0.40682185	-0.2948638	0.64858955	-2.9126952	0.36667755	3.008096	
0	0	3	7.681040869897961	0.06812486	-1.9718707	0.18590055	0.6084194	0.27508515	2.8928113	0.4783277	-0.4913308	0.71277833	2.891904	0.43789676	2.9851873	
0	0	4	10.241387826530612	0.08303221	-0.90387297	0.11000511	0.72695744	0.16245331	2.6884835	0.47493374	-0.9790157	0.8188544	2.270459	0.51350075	2.8009596	
0	0	5	12.801734783163266	0.17351483	-0.8719247	0.04905343	0.49246782	0.093300276	2.5826154	0.3170972	-1.3879482	0.7051572	1.4099352	0.5514349	2.4838607	
0	0	6	15.362081739795922	0.26994282	-1.1211284	0.038199577	-0.45587844	0.045748066	2.47805	0.19687277	-1.5122957	0.40305698	0.7236079	0.515758	2.077903	
0	0	7	17.922428696428575	0.371759	-1.4855887	0.054196343	-0.80001026	0.012315409	1.9541458	0.13294932	-1.508819	0.21086162	0.260402	0.43116987	1.6106646	
0	0	8	20.482775653061225	0.5009302	-2.0438852	0.064038806	-0.84414953	0.020128239	-0.04687178	0.09934465	-1.4972756	0.110246636	-0.25667924	0.37298045	1.0539882	
0	0	9	23.04312260969388	0.6469515	-3.1152904	0.06674624	-0.8392045	0.04178362	-0.25313684	0.08510866	-1.5428935	0.07962133	-1.0919727	0.41750836	0.5223168	
